37.122977,-113.613499,1418 W Sunset Blvd,Taco Bell
37.109869,-113.570286,610 E Saint George Blvd,Taco Bell
38.971514,-95.301449,4651 W 6th St,Pizza Hut
40.75546,-96.64543,5540 Old Cheney Rd,Amigos/Kings Classic
38.88353,-94.672,7501 W 135th St,Raising Cane's Chicken Fingers
41.41841,-82.67352,4204 Milan Rd,McDonalds
29.3676,-94.97416,6300 Gulf Fwy,Whataburger
28.036688,-97.04238,1302 Highway 35 N,McDonald's
39.25009,-84.59411,3515 Springdale Rd,Domino's Pizza
39.18985,-84.36207,7720 Laurel Ave,Domino's Pizza
29.7279,-98.07612,123 Creekside Xing,Whataburger
43.83887,-70.44217,793 Roosevelt Trl,Burger King
47.673976,-117.206394,14700 E Indiana Ave,Taco Time
38.59259,-92.2254,201 Commerce Dr,SONIC Drive In
38.58068,-92.2352,3124 S Ten Mile Dr,McDonald's
34.36729,-89.54978,1417 Jackson Ave W,Coop DeVille
41.138,-102.98557,2984 Upland Pkwy,McDonalds
40.39457,-95.83913,1002 J St,Amigos/Kings Classic
40.725253,-73.634393,191 7th St,B. Good
37.9978,-85.70737,544 Conestoga Pkwy,Domino's Pizza
37.0082,-85.92208,101 Smith Rd,McDonald's
31.27267,-92.48395,5212 Jackson St,Sonic Drive-In
37.09224,-84.61883,131 S Highway 27,McDonald's
35.085335,-106.60555,1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Domino's Pizza
37.723743,-87.123894,4800 Frederica St,McDonald's
30.02306,-90.26933,300 W Esplanade Ave,Burger King
29.63346,-90.75858,5963 W Main St,Sonic Drive-In
35.17351,-106.49703,7849 Tramway Blvd NE Ste D,Domino's Pizza
38.77544,-85.39367,400 Clifty Dr,Rally's
29.58875,-90.74346,1228 Saint Charles St,Taco Bell
32.7715,-92.39699,725 Sterlington Hwy,Taco Bell
29.89708,-90.14081,1088 Westbank Expy,Pizza Hut
30.44345,-91.17915,1000 Government St,Sonic Drive-In
33.75489,-90.71678,314 E Carpenter St,Back Yard Burgers
33.74364,-90.71593,120 S Davis Ave,McDonald's
34.72418,-77.34444,1231 Holcomb Blvd,Wendy's
46.78937,-92.09841,112 E 2nd St,Domino's Pizza
31.8613,-81.61078,976 William H Wilson Ave Ste 100,Burger King
33.236442,-87.576869,2910 Lurleen B Wallace Blvd,Sonic Drive-In
41.68432,-91.60353,2441 James St,Domino's Pizza
34.439438,-86.940455,602 Highway 31 SW,Taco Bell
36.29457,-76.23925,107 Jordan Plz,Domino's Pizza
34.69765,-77.14086,905 W Corbett Ave,McDonalds
38.70084,-80.664158,2001 Sutton Ln,Arby's
44.47568,-73.21264,161 Church St,Pacific Rim
28.9826,-95.94636,3716 7th St,Taco Bell
34.13885,-80.95378,443 Killian Rd,Panda Express
42.02193,-93.65164,122 Hayward Ave,Domino's Pizza
34.760626,-79.487148,1306 Scotland Crossing Dr,Taco Bell
30.84377,-83.32041,1700 Norman Dr Spc 1056,Chick-fil-A
33.903931,-81.545787,502 W Columbia Ave,Hardee's
32.87129,-80.02056,4965 Centre Pointe Dr,Domino's Pizza
41.04905,-92.41165,2441 Northgate St,McDonald's
31.68468,-96.47389,903 E Milam St,McDonald's
30.44529,-91.13715,5131 Government St,Captain D's
27.85699,-97.63067,4021 Interstate Highway 69 Access Rd,Whataburger
29.165887,-95.422475,839 E Mulberry St,Jack in the Box
31.75324,-93.10647,3900 University Pkwy,Sonic Drive-In
45.486681,-123.845556,1855 Main Ave N,McDonald's
35.90875,-86.88409,400 Downs Blvd Ste 100,Domino's Pizza
39.16989,-91.87478,808 E Liberty St,SONIC Drive In
37.84401,-90.50351,701 E Main St,SONIC Drive In
33.581838,-112.124385,3039 W Peoria Ave,Samurai Sam's
31.30789,-86.4999,324 W Bypass,Arby's
40.814503,-96.700905,1411 Q St,Amigos/Kings Classic
39.37906,-97.14248,525 W Crawford St,SONIC Drive In
32.28572,-95.30372,5802 S Broadway Ave,McDonald's
28.82378,-97.000727,3112 N Navarro St,McDonald's
39.44023,-78.97744,2 N Mineral St,Subway
29.79332,-95.71956,1845 Fry Rd,McDonald's
31.51211,-97.18724,100 W Loop 340,Whataburger
26.40269,-99.01235,104 E Grant St,McDonald's
31.45096,-96.07826,441 Craig St,McDonalds
34.43504,-100.22784,2111 Ave F NW US 287,McDonald's
27.50749,-97.85649,1005 S 14th St,Taco Bell
31.07809,-97.75698,4622 S Fort Hood St,McDonald's
32.73227,-94.94278,404 N Wood St,Taco Bell
29.71927,-95.78177,7104 S Fry Rd,McDonald's
30.91192,-93.99569,1265 S Wheeler St,McDonald's
33.557809,-97.846268,307 E Wise St,McDonald's
33.4717,-94.4091,705 N McCoy Blvd,Taco Bell
26.12559,-97.63723,821 S Sam Houston Blvd,McDonald's
35.69172,-81.35675,2652 S Nc 127 Hwy,Domino's Pizza
34.79816,-91.89096,1696 N Center St,SONIC Drive In
29.90228,-90.03,651 Terry Pkwy Ste 101,Domino's Pizza
41.141563,-96.01308,1449 Papillion Dr,Domino's Pizza
41.2606,-96.09081,323 N 114th St,Domino's Pizza
39.09245,-84.4806,102 Pavilion Pkwy,Domino's Pizza
36.20043,-79.84375,998 Nc Highway 150 W A,Domino's Pizza
26.17221,-97.67362,1518 N Ed Carey Dr,Taco Bell
35.60569,-105.22363,1501 7th St,McDonald's
40.42485,-99.3797,1130 Burlington St,Sonic Drive-In
48.21665,-101.29666,1630 S Broadway,Taco Bell
46.26365,-96.61158,801 Dakota Ave,Taco John's
44.006216,-97.118242,223 N Josephine Ave,Taco John's
32.41713,-104.2292,327 S Canal St,McDonalds
32.77873,-91.8896,2005 E Madison Ave,McDonald's
33.15244,-107.24684,2000 N Date St,Sonic Drive-In
44.007172,-97.115957,320 NW 2nd St,McDonald's
44.084414,-93.241752,681 W Bridge St,Taco Bell
41.30959,-105.56668,2121 E Grand Ave,Taco Bell
44.66263,-103.85504,1401 Mill St,Taco John's
32.4316,-93.71381,1650 E Bert Kouns Industrial Loop,Whataburger
35.9196,-94.96673,600 N Grand Ave,Northeastern State University
31.29621,-92.478,507 MacArthur Dr,McDonald's
44.5325,-68.408,245 High St,Taco Bell
44.53099,-68.40688,259 High St,McDonald's
35.14515,-106.58797,6001 San Mateo Blvd Ne Ste G1,Pizza Hut
31.75412,-93.08107,304 Keyser Ave,McDonald's
44.22938,-69.77157,192 Water St,Domino's Pizza
36.17034,-94.13983,1306 S Thompson St,SONIC Drive In
35.25441,-95.10962,1310 E Main St,McDonald's
34.3717,-96.13563,1510 S Mississippi Ave,Taco Bell
35.47132,-95.52156,207 N Broadway St,Subway
44.04537,-122.96621,4105 Main St,Domino's Pizza
42.83924,-72.56684,499 Canal St,Domino's Pizza
35.96083,-95.39476,105 Blake Dr,SONIC Drive In
31.26788,-92.48741,5704 Jackson St,Subway
42.09591,-76.05453,603 E Main St,McDonald's
40.45384,-86.91841,1052 Sagamore Pkwy W,Jimmy John's
44.8396,-73.08202,363 Swanton Rd,Taco Bell
44.44926,-73.20896,580 Shelburne Rd Ste 11,SUBWAY
40.24008,-85.66922,2201 S Park Ave Ste 5,Pizza Hut
44.25664,-72.57701,25 Berlin St,Domino's Pizza
36.16562,-81.13658,313 2nd St,Wendy's
46.13483,-67.83927,127 North St,Domino's Pizza
48.1566,-103.6262,1215 2nd Ave W,Taco John's
34.064617,-80.95748,7201 Two Notch Rd,Sarku Japan
43.14776,-93.21414,875 4th St SW,Taco Bell
43.12617,-95.15025,320 11th Street Sw Plz,Taco Bell
41.29768,-91.69085,120 E Jefferson St,Taco Bell
34.657839,-86.483357,6694 Highway 431 S,Taco Bell
33.93912,-81.150724,2721a Emanuel Church Rd,Pizza Hut
39.723201,-90.240464,837 W Morton Ave,Taco Bell
42.9037,-76.8312,2013 US Route 20,Burger King
34.24907,-80.64598,2211 W Dekalb St,Chick-fil-A
41.77618,-107.22593,1400 S Higley Blvd,Subway
44.84987,-74.28485,3 Spaulding Ave,Domino's Pizza
40.14714,-88.97722,80 Clinton Plz,Taco Bell
42.67962,-74.47452,776 E Main St,Taco Bell
44.690205,-75.4774,1134 Paterson St,McDonald's
40.9107,-90.64483,201 Maple City Dr,Taco Bell
41.642781,-81.468481,31305 Vine St,Burger King
38.58174,-92.20713,2118 Missouri Blvd,Captain D's
